date,cash,holdings_value,net_worth,positions,daily_return
2025-06-30,8000.0,0.0,8000.0,0,0.0
2025-07-01,8000.0,0.0,8000.0,0,0.0
2025-07-02,8000.0,0.0,8000.0,0,0.0
2025-07-03,8000.0,0.0,8000.0,0,0.0
2025-07-04,8000.0,0.0,8000.0,0,0.0
2025-07-07,8000.0,0.0,8000.0,0,0.0
2025-07-08,8000.0,0.0,8000.0,0,0.0
2025-07-09,8000.0,0.0,8000.0,0,0.0
2025-07-10,8000.0,0.0,8000.0,0,0.0
2025-07-11,8000.0,0.0,8000.0,0,0.0
2025-07-14,8000.0,0.0,8000.0,0,0.0
2025-07-15,8000.0,0.0,8000.0,0,0.0
2025-07-16,8000.0,0.0,8000.0,0,0.0
2025-07-17,8000.0,0.0,8000.0,0,0.0
2025-07-18,8000.0,0.0,8000.0,0,0.0
2025-07-21,8000.0,0.0,8000.0,0,0.0
2025-07-22,8000.0,0.0,8000.0,0,0.0
2025-07-23,8000.0,0.0,8000.0,0,0.0
2025-07-24,8000.0,0.0,8000.0,0,0.0
2025-07-25,8000.0,0.0,8000.0,0,0.0
2025-07-28,8000.0,0.0,8000.0,0,0.0
2025-07-29,8000.0,0.0,8000.0,0,0.0
2025-07-30,8000.0,0.0,8000.0,0,0.0
2025-07-31,8000.0,0.0,8000.0,0,0.0
2025-08-01,8000.0,0.0,8000.0,0,0.0
2025-08-04,8000.0,0.0,8000.0,0,0.0
2025-08-05,8000.0,0.0,8000.0,0,0.0
2025-08-06,8000.0,0.0,8000.0,0,0.0
2025-08-07,8000.0,0.0,8000.0,0,0.0
2025-08-08,8000.0,0.0,8000.0,0,0.0
2025-08-11,8000.0,0.0,8000.0,0,0.0
2025-08-12,8000.0,0.0,8000.0,0,0.0
2025-08-13,8000.0,0.0,8000.0,0,0.0
2025-08-14,8000.0,0.0,8000.0,0,0.0
2025-08-15,8000.0,0.0,8000.0,0,0.0
2025-08-18,8000.0,0.0,8000.0,0,0.0
2025-08-19,8000.0,0.0,8000.0,0,0.0
2025-08-20,8000.0,0.0,8000.0,0,0.0
2025-08-21,8000.0,0.0,8000.0,0,0.0
2025-08-22,8000.0,0.0,8000.0,0,0.0
2025-08-25,8000.0,0.0,8000.0,0,0.0
2025-08-26,8000.0,0.0,8000.0,0,0.0
2025-08-27,8000.0,0.0,8000.0,0,0.0
2025-08-28,8000.0,0.0,8000.0,0,0.0
2025-08-29,8000.0,0.0,8000.0,0,0.0
2025-09-01,493.76,7490.0,7983.76,1,-0.2
2025-09-02,493.76,7180.0,7673.76,1,-3.88
2025-09-03,493.76,7155.0,7648.76,1,-0.33
2025-09-04,493.76,6575.0,7068.76,1,-7.58
2025-09-05,415.57,6952.4,7367.97,1,4.23
2025-09-08,421.57,6915.6,7337.17,1,-0.42
2025-09-09,410.24,6769.1,7179.34,1,-2.15
2025-09-10,360.77,6698.3,7059.07,1,-1.68
2025-09-11,438.24,7055.0,7493.24,1,6.15
2025-09-12,450.48,7198.1,7648.58,1,2.07
2025-09-15,450.48,7139.3,7589.78,1,-0.77
2025-09-16,450.48,7232.4,7682.88,1,1.23
2025-09-17,449.6,7211.4,7661.0,1,-0.28
2025-09-18,439.2,7123.2,7562.4,1,-1.29
2025-09-19,439.2,7056.0,7495.2,1,-0.89
2025-09-22,453.53,7168.5,7622.03,1,1.69
2025-09-23,382.39,7200.0,7582.39,1,-0.52
2025-09-24,452.57,7222.8,7675.37,1,1.23
2025-09-25,462.07,7212.8,7674.87,1,-0.01
2025-09-26,462.07,6978.2,7440.27,1,-3.06
2025-09-29,473.35,7018.6,7491.95,1,0.69
2025-09-30,473.35,7227.6,7700.95,1,2.79
2025-10-09,460.16,7387.2,7847.36,1,1.9
2025-10-10,436.91,6946.4,7383.31,1,-5.91
2025-10-13,356.47,7037.6,7394.07,1,0.15
2025-10-14,356.47,6642.4,6998.87,1,-5.34
2025-10-15,376.68,6706.0,7082.68,1,1.2
2025-10-16,469.94,6652.6,7122.54,1,0.56
2025-10-17,469.94,6397.3,6867.24,1,-3.58
2025-10-20,469.94,6478.7,6948.64,1,1.19
2025-10-21,469.94,6567.5,7037.44,1,1.28
2025-10-22,469.94,6489.8,6959.74,1,-1.1
2025-10-23,469.94,6567.5,7037.44,1,1.12
2025-10-24,469.94,6674.8,7144.74,1,1.52
2025-10-27,368.98,6789.9,7158.88,1,0.2
2025-10-28,369.9,6544.8,6914.7,1,-3.41
2025-10-29,369.9,6796.8,7166.7,1,3.64
2025-10-30,369.9,6822.0,7191.9,1,0.35
2025-10-31,369.9,6818.4,7188.3,1,-0.05
2025-11-03,365.3,6688.5,7053.8,1,-1.87
2025-11-04,365.3,6513.0,6878.3,1,-2.49
2025-11-05,365.3,6812.0,7177.3,1,4.35
2025-11-06,365.3,6916.0,7281.3,1,1.45
2025-11-07,365.3,7020.0,7385.3,1,1.43
2025-11-10,360.84,7006.4,7367.24,1,-0.24
2025-11-11,360.84,6913.6,7274.44,1,-1.26
2025-11-12,429.61,6727.5,7157.11,1,-1.61
2025-11-13,439.39,6817.2,7256.59,1,1.39
2025-11-14,399.81,6697.5,7097.31,1,-2.19
2025-11-17,399.81,6817.2,7217.01,1,1.69
2025-11-18,399.81,6572.1,6971.91,1,-3.4
2025-11-19,334.06,6602.4,6936.46,1,-0.51
2025-11-20,334.06,6540.8,6874.86,1,-0.89
2025-11-21,402.31,6270.0,6672.31,1,-2.95
2025-11-24,402.31,6224.4,6626.71,1,-0.68
2025-11-25,412.09,6322.4,6734.49,1,1.63
2025-11-26,478.37,6193.8,6672.17,1,-0.93
2025-11-27,478.37,6201.2,6679.57,1,0.11
2025-11-28,342.09,6412.0,6754.09,1,1.12
2025-12-01,344.95,6497.2,6842.15,1,1.3
2025-12-02,352.09,6368.4,6720.49,1,-1.78
2025-12-03,6746.48,0.0,6746.48,0,0.39
2025-12-04,6746.48,0.0,6746.48,0,0.0
2025-12-05,6746.48,0.0,6746.48,0,0.0
2025-12-08,346.4,6385.5,6731.9,1,-0.22
2025-12-09,358.56,6262.0,6620.56,1,-1.65
2025-12-10,6668.07,0.0,6668.07,0,0.72
2025-12-11,6668.07,0.0,6668.07,0,0.0
2025-12-12,466.89,6186.9,6653.79,1,-0.21
2025-12-15,349.86,6254.8,6604.66,1,-0.74
2025-12-16,6537.16,0.0,6537.16,0,-1.02
2025-12-17,331.87,6191.0,6522.87,1,-0.22
2025-12-18,6500.4,0.0,6500.4,0,-0.34
2025-12-19,6500.4,0.0,6500.4,0,0.0
2025-12-22,324.16,6162.0,6486.16,1,-0.22
2025-12-23,6495.58,0.0,6495.58,0,0.15
2025-12-24,6495.58,0.0,6495.58,0,0.0
2025-12-25,423.29,6058.2,6481.49,1,-0.22
2025-12-26,372.07,6150.0,6522.07,1,0.63
2025-12-29,6432.96,0.0,6432.96,0,-1.37
2025-12-30,389.12,6029.8,6418.92,1,-0.22
2025-12-31,335.04,6041.2,6376.24,1,-0.66
2026-01-05,335.04,6190.8,6525.84,1,2.35
2026-01-06,335.04,6393.2,6728.24,1,3.1
2026-01-07,385.35,6256.8,6642.15,1,-1.28
2026-01-08,457.88,6471.5,6929.38,1,4.32
2026-01-09,457.88,6738.1,7195.98,1,3.85
2026-01-12,368.69,7290.0,7658.69,1,6.43
2026-01-13,397.12,6960.6,7357.72,1,-3.93
2026-01-14,397.12,7138.8,7535.92,1,2.42
2026-01-15,547.59,6618.0,7165.59,1,-4.91
2026-01-16,547.59,6525.0,7072.59,1,-1.3
2026-01-19,366.77,6682.0,7048.77,1,-0.34
2026-01-20,337.83,6480.0,6817.83,1,-3.28
2026-01-21,523.39,6308.4,6831.79,1,0.2
2026-01-22,329.16,6426.0,6755.16,1,-1.12
2026-01-23,397.86,6384.0,6781.86,1,0.4
2026-01-26,378.42,6141.0,6519.42,1,-3.87
2026-01-27,440.25,5977.5,6417.75,1,-1.56
2026-01-28,363.36,6420.2,6783.56,1,5.7
2026-01-29,355.87,6487.5,6843.37,1,0.88
2026-01-30,355.87,5847.5,6203.37,1,-9.35
2026-02-02,383.07,5209.6,5592.67,1,-9.84
2026-02-03,326.86,5420.0,5746.86,1,2.76
2026-02-04,329.92,5231.2,5561.12,1,-3.23
2026-02-05,329.92,5194.8,5524.72,1,-0.65
2026-02-06,294.45,5095.8,5390.25,1,-2.43
2026-02-09,355.48,5077.8,5433.28,1,0.8
2026-02-10,355.48,5308.8,5664.28,1,4.25
2026-02-11,355.48,5157.6,5513.08,1,-2.67
2026-02-12,274.04,5242.8,5516.84,1,0.07
2026-02-13,262.56,5086.2,5348.76,1,-3.05
2026-02-24,285.84,4882.8,5168.64,1,-3.37
2026-02-25,285.84,4960.8,5246.64,1,1.51
2026-02-26,305.59,4926.6,5232.19,1,-0.28
2026-02-27,305.59,5119.8,5425.39,1,3.69
2026-03-02,408.81,4996.0,5404.81,1,-0.38
2026-03-03,361.5,4747.1,5108.6,1,-5.48
2026-03-04,324.65,4656.4,4981.05,1,-2.5
2026-03-05,324.65,4561.2,4885.85,1,-1.91
2026-03-06,324.65,4468.8,4793.45,1,-1.89
2026-03-09,324.65,4502.4,4827.05,1,0.7
2026-03-10,255.82,4366.2,4622.02,1,-4.25
2026-03-11,255.82,4476.4,4732.22,1,2.38
2026-03-12,255.82,4579.0,4834.82,1,2.17
2026-03-13,255.82,4480.2,4736.02,1,-2.04
2026-03-16,301.85,4289.6,4591.45,1,-3.05
2026-03-17,4501.73,0.0,4501.73,0,-1.95
2026-03-18,4501.73,0.0,4501.73,0,0.0
2026-03-19,4501.73,0.0,4501.73,0,0.0
2026-03-20,4501.73,0.0,4501.73,0,0.0
2026-03-23,4501.73,0.0,4501.73,0,0.0
2026-03-24,4501.73,0.0,4501.73,0,0.0
2026-03-25,4501.73,0.0,4501.73,0,0.0
2026-03-26,328.99,4161.5,4490.49,1,-0.25
2026-03-27,4437.31,0.0,4437.31,0,-1.18
2026-03-30,4437.31,0.0,4437.31,0,0.0
2026-03-31,4437.31,0.0,4437.31,0,0.0
2026-04-01,4437.31,0.0,4437.31,0,0.0
2026-04-02,4437.31,0.0,4437.31,0,0.0
2026-04-03,4437.31,0.0,4437.31,0,0.0
2026-04-07,4437.31,0.0,4437.31,0,0.0
2026-04-08,219.0,4207.0,4426.0,1,-0.25
2026-04-09,4383.24,0.0,4383.24,0,-0.97
2026-04-10,4383.24,0.0,4383.24,0,0.0
2026-04-13,4383.24,0.0,4383.24,0,0.0
2026-04-14,218.01,4154.0,4372.01,1,-0.26
2026-04-15,4293.88,0.0,4293.88,0,-1.79
2026-04-16,238.01,4044.8,4282.81,1,-0.26
2026-04-17,238.01,4243.2,4481.21,1,4.63
2026-04-20,238.01,4294.4,4532.41,1,1.14
2026-04-21,238.01,4281.6,4519.61,1,-0.28
2026-04-22,259.3,4480.0,4739.3,1,4.86
2026-04-23,266.64,4537.0,4803.64,1,1.36
2026-04-24,266.64,4355.0,4621.64,1,-3.79
2026-04-27,266.64,4407.0,4673.64,1,1.13
2026-04-28,266.64,4316.0,4582.64,1,-1.95
2026-04-29,266.64,4316.0,4582.64,1,0.0
2026-04-30,251.47,4288.8,4540.27,1,-0.92
2026-05-06,251.47,4442.4,4693.87,1,3.38
2026-05-07,263.04,4524.8,4787.84,1,2.0
2026-05-08,263.04,4576.0,4839.04,1,1.07
2026-05-11,263.04,4748.8,5011.84,1,3.57
2026-05-12,263.04,4806.4,5069.44,1,1.15
2026-05-13,263.04,4985.6,5248.64,1,3.53
2026-05-14,263.04,4940.8,5203.84,1,-0.85
2026-05-15,263.04,4800.0,5063.04,1,-2.71
2026-05-18,263.04,4857.6,5120.64,1,1.14
2026-05-19,279.98,4797.0,5076.98,1,-0.85
2026-05-20,279.98,5013.0,5292.98,1,4.25
2026-05-21,344.52,4708.2,5052.72,1,-4.54
2026-05-22,344.52,4818.4,5162.92,1,2.18
2026-05-25,269.4,5232.7,5502.1,1,6.57
2026-05-26,284.5,5145.2,5429.7,1,-1.32
2026-05-27,284.5,5000.8,5285.3,1,-2.66
2026-05-28,339.68,4932.1,5271.78,1,-0.26
2026-05-29,269.17,4690.5,4959.67,1,-5.92
2026-06-01,263.84,4501.2,4765.04,1,-3.92
2026-06-02,263.75,4552.4,4816.15,1,1.07
2026-06-03,240.19,4719.0,4959.19,1,2.97
2026-06-04,359.31,4554.0,4913.31,1,-0.93
2026-06-05,253.81,4409.6,4663.41,1,-5.09
2026-06-08,253.81,4245.3,4499.11,1,-3.52
2026-06-09,262.78,4462.0,4724.78,1,5.02
2026-06-10,292.54,4319.5,4612.04,1,-2.39
2026-06-11,260.37,4260.0,4520.37,1,-1.99
2026-06-12,260.37,4212.0,4472.37,1,-1.06
2026-06-15,298.07,4403.0,4701.07,1,5.11
2026-06-16,280.12,4282.6,4562.72,1,-2.94
2026-06-17,310.89,4482.9,4793.79,1,5.06
2026-06-18,286.65,4646.4,4933.05,1,2.91
2026-06-22,286.65,4818.0,5104.65,1,3.48
2026-06-23,324.52,4647.2,4971.72,1,-2.6
2026-06-24,270.36,4935.6,5205.96,1,4.71
2026-06-25,338.84,4993.2,5332.04,1,2.42
2026-06-26,338.84,4946.4,5285.24,1,-0.88
2026-06-29,317.33,5233.8,5551.13,1,5.03
2026-06-30,357.99,5410.8,5768.79,1,3.92
2026-07-01,357.99,5299.2,5657.19,1,-1.93
2026-07-02,5205.7,0.0,5205.7,0,-7.98
2026-07-03,5205.7,0.0,5205.7,0,0.0
2026-07-06,5205.7,0.0,5205.7,0,0.0
2026-07-07,390.3,4803.2,5193.5,1,-0.23
2026-07-08,323.1,4820.4,5143.5,1,-0.96
2026-07-09,281.19,5311.6,5592.79,1,8.74
2026-07-10,266.97,5202.2,5469.17,1,-2.21
2026-07-13,340.59,4811.4,5151.99,1,-5.8
