date,code,action,shares,price,cost,fee,reason,revenue
2025-09-01,人工智能ETF,BUY,5000,1.5,7506.24,5.0,信号BUY,
2025-09-05,人工智能ETF,SELL,5000,1.379,,5.0,信号SELL,6889.64
2025-09-05,芯片ETF,BUY,9100,0.765,6967.83,5.0,信号BUY,
2025-09-08,芯片ETF,SELL,9100,0.763,,5.0,信号SELL,6936.97
2025-09-08,人工智能ETF,BUY,5100,1.358,6930.97,5.0,信号BUY,
2025-09-09,人工智能ETF,SELL,5100,1.329,,5.0,信号SELL,6772.92
2025-09-09,新能源车ETF,BUY,4100,1.653,6784.25,5.0,信号BUY,
2025-09-10,新能源车ETF,SELL,4100,1.627,,5.0,信号SELL,6663.88
2025-09-10,人工智能ETF,BUY,4900,1.369,6713.35,5.0,信号BUY,
2025-09-11,人工智能ETF,SELL,4900,1.46,,5.0,信号SELL,7148.05
2025-09-11,稀土ETF,BUY,8500,0.831,7070.58,5.0,信号BUY,
2025-09-12,稀土ETF,SELL,8500,0.851,,5.0,信号SELL,7226.14
2025-09-12,人工智能ETF,BUY,4900,1.471,7213.9,5.0,信号BUY,
2025-09-17,人工智能ETF,SELL,4900,1.476,,5.0,信号SELL,7226.34
2025-09-17,机器人ETF,BUY,4200,1.72,7227.22,5.0,信号BUY,
2025-09-18,机器人ETF,SELL,4200,1.698,,5.0,信号SELL,7128.48
2025-09-18,人工智能ETF,BUY,4800,1.486,7138.88,5.0,信号BUY,
2025-09-22,人工智能ETF,SELL,4800,1.501,,5.0,信号SELL,7198.58
2025-09-22,芯片ETF,BUY,8100,0.886,7184.25,5.0,信号BUY,
2025-09-23,芯片ETF,SELL,8100,0.883,,5.0,信号SELL,7144.66
2025-09-23,人工智能ETF,BUY,4800,1.502,7215.8,5.0,信号BUY,
2025-09-24,人工智能ETF,SELL,4800,1.524,,5.0,信号SELL,7308.81
2025-09-24,芯片ETF,BUY,7800,0.927,7238.63,5.0,信号BUY,
2025-09-25,芯片ETF,SELL,7800,0.929,,5.0,信号SELL,7238.12
2025-09-25,人工智能ETF,BUY,4600,1.57,7228.62,5.0,信号BUY,
2025-09-29,人工智能ETF,SELL,4600,1.533,,5.0,信号SELL,7045.41
2025-09-29,新能源车ETF,BUY,3800,1.85,7034.13,5.0,信号BUY,
2025-10-09,新能源车ETF,SELL,3800,1.946,,5.0,信号SELL,7390.09
2025-10-09,芯片ETF,BUY,7600,0.973,7403.28,5.0,信号BUY,
2025-10-10,芯片ETF,SELL,7600,0.914,,5.0,信号SELL,6938.57
2025-10-10,新能源车ETF,BUY,3800,1.831,6961.82,5.0,信号BUY,
2025-10-13,新能源车ETF,SELL,3800,1.836,,5.0,信号SELL,6972.72
2025-10-13,芯片ETF,BUY,7600,0.927,7053.16,5.0,信号BUY,
2025-10-15,芯片ETF,SELL,7600,0.888,,5.0,信号SELL,6741.27
2025-10-15,光伏ETF,BUY,7000,0.959,6721.06,5.0,信号BUY,
2025-10-16,光伏ETF,SELL,7000,0.967,,5.0,信号SELL,6760.84
2025-10-16,新能源车ETF,BUY,3700,1.801,6667.58,5.0,信号BUY,
2025-10-27,新能源车ETF,SELL,3700,1.813,,5.0,信号SELL,6704.12
2025-10-27,有色金属ETF,BUY,3900,1.744,6805.08,5.0,信号BUY,
2025-10-28,有色金属ETF,SELL,3900,1.683,,5.0,信号SELL,6560.54
2025-10-28,新能源车ETF,BUY,3600,1.821,6559.62,5.0,信号BUY,
2025-11-03,新能源车ETF,SELL,3600,1.862,,5.0,信号SELL,6698.93
2025-11-03,光伏ETF,BUY,6500,1.031,6703.53,5.0,信号BUY,
2025-11-10,光伏ETF,SELL,6500,1.08,,5.0,信号SELL,7017.45
2025-11-10,煤炭ETF,BUY,5800,1.21,7021.91,5.0,信号BUY,
2025-11-12,煤炭ETF,SELL,5800,1.175,,5.0,信号SELL,6811.36
2025-11-12,光伏ETF,BUY,6500,1.037,6742.59,5.0,信号BUY,
2025-11-13,光伏ETF,SELL,6500,1.053,,5.0,信号SELL,6842.21
2025-11-13,有色金属ETF,BUY,3800,1.797,6832.43,5.0,信号BUY,
2025-11-14,有色金属ETF,SELL,3800,1.757,,5.0,信号SELL,6672.97
2025-11-14,煤炭ETF,BUY,5700,1.177,6712.55,5.0,信号BUY,
2025-11-19,煤炭ETF,SELL,5700,1.15,,5.0,信号SELL,6551.55
2025-11-19,油气ETF,BUY,5600,1.181,6617.3,5.0,信号BUY,
2025-11-21,油气ETF,SELL,5600,1.135,,5.0,信号SELL,6352.65
2025-11-21,有色金属ETF,BUY,3800,1.652,6284.4,5.0,信号BUY,
2025-11-25,有色金属ETF,SELL,3800,1.671,,5.0,信号SELL,6346.66
2025-11-25,油气ETF,BUY,5600,1.131,6336.88,5.0,信号BUY,
2025-11-26,油气ETF,SELL,5600,1.121,,5.0,信号SELL,6274.37
2025-11-26,有色金属ETF,BUY,3700,1.677,6208.09,5.0,信号BUY,
2025-11-28,有色金属ETF,SELL,3700,1.701,,5.0,信号SELL,6290.34
2025-11-28,油气ETF,BUY,5600,1.147,6426.62,5.0,信号BUY,
2025-12-01,油气ETF,SELL,5600,1.164,,5.0,信号SELL,6514.81
2025-12-01,有色金属ETF,BUY,3700,1.759,6511.95,5.0,信号BUY,
2025-12-02,有色金属ETF,SELL,3700,1.728,,5.0,信号SELL,6390.09
2025-12-02,煤炭ETF,BUY,5800,1.1,6382.95,5.0,信号BUY,
2025-12-03,煤炭ETF,SELL,5800,1.103,,5.0,信号SELL,6394.39
2025-12-08,油气ETF,BUY,5500,1.163,6400.08,5.0,信号BUY,
2025-12-09,油气ETF,SELL,5500,1.144,,5.0,信号SELL,6288.55
2025-12-09,通信ETF,BUY,12400,0.506,6276.39,5.0,信号BUY,
2025-12-10,通信ETF,SELL,12400,0.509,,5.0,信号SELL,6309.51
2025-12-12,家电ETF,BUY,4100,1.511,6201.18,5.0,信号BUY,
2025-12-15,家电ETF,SELL,4100,1.502,,5.0,信号SELL,6152.15
2025-12-15,国防ETF,BUY,7600,0.824,6269.18,5.0,信号BUY,
2025-12-16,国防ETF,SELL,7600,0.815,,5.0,信号SELL,6187.3
2025-12-17,化工ETF,BUY,8200,0.756,6205.29,5.0,信号BUY,
2025-12-18,化工ETF,SELL,8200,0.753,,5.0,信号SELL,6168.53
2025-12-22,化工ETF,BUY,7900,0.781,6176.24,5.0,信号BUY,
2025-12-23,化工ETF,SELL,7900,0.782,,5.0,信号SELL,6171.42
2025-12-25,军工ETF,BUY,4600,1.319,6072.29,5.0,信号BUY,
2025-12-26,军工ETF,SELL,4600,1.33,,5.0,信号SELL,6113.01
2025-12-26,化工ETF,BUY,7500,0.821,6164.23,5.0,信号BUY,
2025-12-29,化工ETF,SELL,7500,0.809,,5.0,信号SELL,6060.89
2025-12-30,化工ETF,BUY,7300,0.827,6043.84,5.0,信号BUY,
2025-12-31,化工ETF,SELL,7300,0.823,,5.0,信号SELL,6001.18
2025-12-31,军工ETF,BUY,4400,1.375,6055.26,5.0,信号BUY,
2026-01-07,军工ETF,SELL,4400,1.438,,5.0,信号SELL,6321.5
2026-01-07,国防ETF,BUY,6600,0.949,6271.19,5.0,信号BUY,
2026-01-08,国防ETF,SELL,6600,0.995,,5.0,信号SELL,6558.74
2026-01-08,军工ETF,BUY,4300,1.507,6486.21,5.0,信号BUY,
2026-01-12,军工ETF,SELL,4300,1.679,,5.0,信号SELL,7216.75
2026-01-12,通信ETF,BUY,13500,0.541,7305.94,5.0,信号BUY,
2026-01-13,通信ETF,SELL,13500,0.519,,5.0,信号SELL,7004.47
2026-01-13,传媒ETF,BUY,5400,1.291,6976.04,5.0,信号BUY,
2026-01-15,传媒ETF,SELL,5400,1.257,,5.0,信号SELL,6783.4
2026-01-15,有色金属ETF,BUY,3000,2.209,6632.93,5.0,信号BUY,
2026-01-19,有色金属ETF,SELL,3000,2.174,,5.0,信号SELL,6516.2
2026-01-19,国防ETF,BUY,6500,1.03,6697.02,5.0,信号BUY,
2026-01-20,国防ETF,SELL,6500,0.996,,5.0,信号SELL,6465.78
2026-01-20,化工ETF,BUY,7200,0.901,6494.72,5.0,信号BUY,
2026-01-21,化工ETF,SELL,7200,0.905,,5.0,信号SELL,6508.42
2026-01-21,有色金属ETF,BUY,2800,2.256,6322.86,5.0,信号BUY,
2026-01-22,有色金属ETF,SELL,2800,2.233,,5.0,信号SELL,6246.41
2026-01-22,化工ETF,BUY,7000,0.919,6440.64,5.0,信号BUY,
2026-01-23,化工ETF,SELL,7000,0.925,,5.0,信号SELL,6467.28
2026-01-23,国防ETF,BUY,6000,1.066,6398.58,5.0,信号BUY,
2026-01-26,国防ETF,SELL,6000,1.023,,5.0,信号SELL,6135.77
2026-01-26,油气ETF,BUY,4600,1.337,6155.21,5.0,信号BUY,
