时间,代码,日线信号,小时信号,最终操作,日线得分,原因,运行ID
2026-07-24 23:30:55,510300,BUY,BUY,BUY,6,日线多头排列 + 小时线确认,20260724_233055
2026-07-24 23:30:55,159915,BUY,SELL,HOLD,-2,"日线看多但小时线看空, 等待",20260724_233055
2026-07-24 23:30:55,512800,HOLD,,HOLD,1,日线无明确方向,20260724_233055
2026-07-24 23:42:04,沪深300ETF,BUY,,BUY,2,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,创业板ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,科创50ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,半导体ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,芯片ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,黄金ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,通信ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,沪深300ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,创业板ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,科创50ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,半导体ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,芯片ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,黄金ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,通信ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,沪深300ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,创业板ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,科创50ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,半导体ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,芯片ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,黄金ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,通信ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,沪深300ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,创业板ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,科创50ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,半导体ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,芯片ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,黄金ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,通信ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,沪深300ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,创业板ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,科创50ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,半导体ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,芯片ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,黄金ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,通信ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,沪深300ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,创业板ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,科创50ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:04,半导体ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
