决策日,执行日,仓位比,净值,现金,持仓,目标,交易,累计交易,累计费用
2025-08-04,2025-08-05,0.0,8000.0,8000.0,,,—,0,0.0
2025-08-05,2025-08-06,0.0,8000.0,8000.0,,,—,0,0.0
2025-08-06,2025-08-07,0.0,8000.0,8000.0,,,—,0,0.0
2025-08-07,2025-08-08,0.0,8000.0,8000.0,,,—,0,0.0
2025-08-08,2025-08-11,0.0,8000.0,8000.0,,,—,0,0.0
2025-08-11,2025-08-12,0.0,8000.0,8000.0,,,—,0,0.0
2025-08-12,2025-08-13,0.0,8000.0,8000.0,,,—,0,0.0
2025-08-13,2025-08-14,0.0,8000.0,8000.0,,,—,0,0.0
2025-08-14,2025-08-15,0.0,8000.0,8000.0,,,—,0,0.0
2025-08-15,2025-08-18,0.0,8000.0,8000.0,,,—,0,0.0
2025-08-18,2025-08-19,0.0,8000.0,8000.0,,,—,0,0.0
2025-08-19,2025-08-20,0.0,8000.0,8000.0,,,—,0,0.0
2025-08-20,2025-08-21,0.0,8000.0,8000.0,,,—,0,0.0
2025-08-21,2025-08-22,0.0,8000.0,8000.0,,,—,0,0.0
2025-08-22,2025-08-25,1.0,7965.4,105.7,券商ETF(12300股),券商ETF,[2025-08-25] 🟢 BUY 12300股 @0.641 ¥7894 (回调),1,10.0
2025-08-25,2025-08-26,1.0,8115.7,123.3,人工智能ETF(5800股),人工智能ETF,[2025-08-26] 🔴 SELL 12300股 @0.642 ¥7887; [2025-08-26] 🟢 BUY 5800股 @1.355 ¥7869 (回调(缩)),3,30.0
2025-08-26,2025-08-27,1.0,7976.5,123.3,人工智能ETF(5800股),人工智能ETF,—,3,30.0
2025-08-27,2025-08-28,1.0,8133.1,123.3,人工智能ETF(5800股),人工智能ETF,—,3,30.0
2025-08-28,2025-08-29,1.0,8695.7,123.3,人工智能ETF(5800股),人工智能ETF,—,3,30.0
2025-08-29,2025-09-01,1.0,8585.5,123.3,人工智能ETF(5800股),人工智能ETF,—,3,30.0
2025-09-01,2025-09-02,1.0,8811.7,123.3,人工智能ETF(5800股),人工智能ETF,—,3,30.0
2025-09-02,2025-09-03,1.0,8452.1,123.3,人工智能ETF(5800股),人工智能ETF,—,3,30.0
2025-09-03,2025-09-04,1.0,8423.1,123.3,人工智能ETF(5800股),人工智能ETF,—,3,30.0
2025-09-04,2025-09-05,1.0,7750.3,123.3,人工智能ETF(5800股),人工智能ETF,—,3,30.0
2025-09-05,2025-09-08,1.0,8133.1,123.3,人工智能ETF(5800股),人工智能ETF,—,3,30.0
2025-09-08,2025-09-09,1.0,7988.1,123.3,人工智能ETF(5800股),人工智能ETF,—,3,30.0
2025-09-09,2025-09-10,1.0,8241.8,151.9,新能源车ETF(4900股),新能源车ETF,[2025-09-10] 🔴 SELL 5800股 @1.377 ¥7977; [2025-09-10] 🟢 BUY 4900股 @1.620 ¥7948 (回调),5,50.0
2025-09-10,2025-09-11,1.0,8205.7,550.5,人工智能ETF(5600股),人工智能ETF,[2025-09-11] 🔴 SELL 4900股 @1.658 ¥8114; [2025-09-11] 🟢 BUY 5600股 @1.376 ¥7716 (回调),7,70.0
2025-09-11,2025-09-12,1.0,8737.7,550.5,人工智能ETF(5600股),人工智能ETF,—,7,70.0
2025-09-12,2025-09-15,1.0,8776.9,550.5,人工智能ETF(5600股),人工智能ETF,—,7,70.0
2025-09-15,2025-09-16,1.0,8709.7,550.5,人工智能ETF(5600股),人工智能ETF,—,7,70.0
2025-09-16,2025-09-17,1.0,8816.1,550.5,人工智能ETF(5600股),人工智能ETF,—,7,70.0
2025-09-17,2025-09-18,1.0,9088.9,160.5,机器人ETF(5200股),机器人ETF,[2025-09-18] 🔴 SELL 5600股 @1.506 ¥8424; [2025-09-18] 🟢 BUY 5200股 @1.693 ¥8814 (回调),9,90.0
2025-09-18,2025-09-19,1.0,8850.9,95.3,人工智能ETF(5900股),人工智能ETF,[2025-09-19] 🔴 SELL 5200股 @1.666 ¥8653; [2025-09-19] 🟢 BUY 5900股 @1.476 ¥8718 (回调),11,110.0
2025-09-19,2025-09-22,1.0,8768.3,95.3,人工智能ETF(5900股),人工智能ETF,—,11,110.0
2025-09-22,2025-09-23,1.0,8963.0,95.3,人工智能ETF(5900股),人工智能ETF,—,11,110.0
2025-09-23,2025-09-24,1.0,8945.3,95.3,人工智能ETF(5900股),人工智能ETF,—,11,110.0
2025-09-24,2025-09-25,1.0,9449.6,189.6,芯片ETF(10000股),芯片ETF,[2025-09-25] 🔴 SELL 5900股 @1.577 ¥9294; [2025-09-25] 🟢 BUY 10000股 @0.919 ¥9200 (回调),13,130.0
2025-09-25,2025-09-26,1.0,9687.0,122.2,人工智能ETF(6100股),人工智能ETF,[2025-09-26] 🔴 SELL 10000股 @0.931 ¥9300; [2025-09-26] 🟢 BUY 6100股 @1.534 ¥9367 (回调(缩)),15,150.0
2025-09-26,2025-09-29,1.0,9375.9,122.2,人工智能ETF(6100股),人工智能ETF,—,15,150.0
2025-09-29,2025-09-30,1.0,9623.8,388.8,新能源车ETF(5000股),新能源车ETF,[2025-09-30] 🔴 SELL 6100股 @1.556 ¥9482; [2025-09-30] 🟢 BUY 5000股 @1.841 ¥9215 (回调),17,170.0
2025-09-30,2025-10-09,1.0,9898.8,388.8,新能源车ETF(5000股),新能源车ETF,—,17,170.0
2025-10-09,2025-10-10,1.0,10025.8,142.3,有色金属ETF(5500股),有色金属ETF,[2025-10-10] 🔴 SELL 5000股 @1.883 ¥9405; [2025-10-10] 🟢 BUY 5500股 @1.753 ¥9652 (回调(缩)),19,190.0
2025-10-10,2025-10-13,1.0,10470.7,599.5,新能源车ETF(5400股),新能源车ETF,[2025-10-13] 🔴 SELL 5500股 @1.802 ¥9901; [2025-10-13] 🟢 BUY 5400股 @1.747 ¥9444 (回调),21,210.0
2025-10-13,2025-10-14,1.0,10503.5,47.3,稀土ETF(11100股),稀土ETF,[2025-10-14] 🔴 SELL 5400股 @1.809 ¥9759; [2025-10-14] 🟢 BUY 11100股 @0.928 ¥10311 (回调(缩)),23,230.0
2025-10-14,2025-10-15,1.0,10421.3,370.3,芯片ETF(11500股),芯片ETF,[2025-10-15] 🔴 SELL 11100股 @0.925 ¥10258; [2025-10-15] 🟢 BUY 11500股 @0.863 ¥9934 (回调),25,250.0
2025-10-15,2025-10-16,1.0,10707.6,265.4,光伏ETF(10900股),光伏ETF,[2025-10-16] 🔴 SELL 11500股 @0.894 ¥10271; [2025-10-16] 🟢 BUY 10900股 @0.951 ¥10376 (回调),27,270.0
2025-10-16,2025-10-17,1.0,10692.9,84.7,新能源车ETF(5900股),新能源车ETF,[2025-10-17] 🔴 SELL 10900股 @0.939 ¥10225; [2025-10-17] 🟢 BUY 5900股 @1.762 ¥10406 (回调(缩)),29,290.0
2025-10-17,2025-10-20,1.0,10285.8,84.7,新能源车ETF(5900股),新能源车ETF,—,29,290.0
2025-10-20,2025-10-21,1.0,10415.6,84.7,新能源车ETF(5900股),新能源车ETF,—,29,290.0
2025-10-21,2025-10-22,1.0,10557.2,84.7,新能源车ETF(5900股),新能源车ETF,—,29,290.0
2025-10-22,2025-10-23,1.0,10433.3,84.7,新能源车ETF(5900股),新能源车ETF,—,29,290.0
2025-10-23,2025-10-24,1.0,10557.2,84.7,新能源车ETF(5900股),新能源车ETF,—,29,290.0
2025-10-24,2025-10-27,1.0,10728.3,84.7,新能源车ETF(5900股),新能源车ETF,—,29,290.0
2025-10-27,2025-10-28,1.0,11070.4,102.1,有色金属ETF(6300股),有色金属ETF,[2025-10-28] 🔴 SELL 5900股 @1.828 ¥10775; [2025-10-28] 🟢 BUY 6300股 @1.706 ¥10758 (回调(缩)),31,310.0
2025-10-28,2025-10-29,1.0,11225.2,499.0,新能源车ETF(5900股),新能源车ETF,[2025-10-29] 🔴 SELL 6300股 @1.765 ¥11110; [2025-10-29] 🟢 BUY 5900股 @1.814 ¥10713 (回调),33,330.0
2025-10-29,2025-10-30,1.0,11800.3,84.3,光伏ETF(11600股),光伏ETF,[2025-10-30] 🔴 SELL 5900股 @1.911 ¥11265; [2025-10-30] 🟢 BUY 11600股 @1.006 ¥11680 (回调),35,350.0
2025-10-30,2025-10-31,1.0,11822.9,73.9,新能源车ETF(6200股),新能源车ETF,[2025-10-31] 🔴 SELL 11600股 @1.011 ¥11718; [2025-10-31] 🟢 BUY 6200股 @1.890 ¥11728 (开盘),37,370.0
2025-10-31,2025-11-03,1.0,11816.7,73.9,新能源车ETF(6200股),新能源车ETF,—,37,370.0
2025-11-03,2025-11-04,1.0,11605.1,80.3,光伏ETF(11200股),光伏ETF,[2025-11-04] 🔴 SELL 6200股 @1.836 ¥11373; [2025-11-04] 🟢 BUY 11200股 @1.014 ¥11367 (回调(缩)),39,390.0
2025-11-04,2025-11-05,1.0,11302.7,80.3,光伏ETF(11200股),光伏ETF,—,39,390.0
2025-11-05,2025-11-06,1.0,11817.9,80.3,光伏ETF(11200股),光伏ETF,—,39,390.0
2025-11-06,2025-11-07,1.0,11997.1,80.3,光伏ETF(11200股),光伏ETF,—,39,390.0
2025-11-07,2025-11-10,1.0,12176.3,80.3,光伏ETF(11200股),光伏ETF,—,39,390.0
2025-11-10,2025-11-11,1.0,12517.3,74.9,煤炭ETF(10300股),煤炭ETF,[2025-11-11] 🔴 SELL 11200股 @1.092 ¥12220; [2025-11-11] 🟢 BUY 10300股 @1.186 ¥12226 (回调),41,410.0
2025-11-11,2025-11-12,1.0,12352.5,74.9,煤炭ETF(10300股),煤炭ETF,—,41,410.0
2025-11-12,2025-11-13,1.0,12198.0,74.9,煤炭ETF(10300股),煤炭ETF,—,41,410.0
2025-11-13,2025-11-14,1.0,12543.2,164.6,有色金属ETF(6900股),有色金属ETF,[2025-11-14] 🔴 SELL 10300股 @1.187 ¥12216; [2025-11-14] 🟢 BUY 6900股 @1.756 ¥12126 (回调),43,430.0
2025-11-14,2025-11-17,0.7,12324.3,3864.3,煤炭ETF(7200股),煤炭ETF,[2025-11-17] 🔴 SELL 6900股 @1.761 ¥12141; [2025-11-17] 🟢 BUY 7200股 @1.171 ¥8441 (回调),45,450.0
2025-11-17,2025-11-18,0.7,12475.5,3864.3,煤炭ETF(7200股),煤炭ETF,—,45,450.0
2025-11-18,2025-11-19,0.7,12165.9,3864.3,煤炭ETF(7200股),煤炭ETF,—,45,450.0
2025-11-19,2025-11-20,0.7,12138.7,3649.9,油气ETF(7200股),油气ETF,[2025-11-20] 🔴 SELL 7200股 @1.139 ¥8191; [2025-11-20] 🟢 BUY 7200股 @1.166 ¥8405 (开盘),47,470.0
2025-11-20,2025-11-21,0.7,12059.5,3649.9,油气ETF(7200股),油气ETF,—,47,470.0
