时间,代码,方向,股数,价格,成交额,佣金,过户费,总费用,净额,原因,运行ID
2026-07-24 23:30:55,510300,BUY,1700,4.7,7990,5.0,0.08,5.08,7995.08,动量信号,20260724_233055
2026-07-24 23:30:55,510300,SELL,1700,4.8,8160,5.0,0.08,5.08,8154.92,信号转空,20260724_233055
2026-07-24 23:31:06,159915,BUY,3200,2.5,8000,5,0,5,8005,追加测试,20260724_233106
2026-07-24 23:42:04,510300,BUY,200,4.481,0,0,0,0,0,策略信号,20260724_234151
2026-07-24 23:42:04,159915,BUY,300,3.062,0,0,0,0,0,策略信号,20260724_234151
2026-07-24 23:42:04,588000,BUY,700,1.431,0,0,0,0,0,策略信号,20260724_234151
2026-07-24 23:42:04,512480,BUY,1500,0.705,0,0,0,0,0,策略信号,20260724_234151
2026-07-24 23:42:04,159995,BUY,1200,0.852,0,0,0,0,0,策略信号,20260724_234151
2026-07-24 23:42:04,518880,BUY,100,7.898,0,0,0,0,0,策略信号,20260724_234151
2026-07-24 23:42:04,515880,BUY,2400,0.447,0,0,0,0,0,策略信号,20260724_234151
2026-07-24 23:42:04,588000,BUY,100,1.479,0,0,0,0,0,策略信号,20260724_234151
2026-07-24 23:42:04,512480,BUY,200,0.731,0,0,0,0,0,策略信号,20260724_234151
2026-07-24 23:42:04,159995,BUY,100,0.885,0,0,0,0,0,策略信号,20260724_234151
2026-07-24 23:42:04,515880,BUY,300,0.452,0,0,0,0,0,策略信号,20260724_234151
2026-07-24 23:42:04,512480,BUY,100,0.734,0,0,0,0,0,策略信号,20260724_234151
2026-07-24 23:42:04,159995,BUY,100,0.884,0,0,0,0,0,策略信号,20260724_234151
2026-07-24 23:42:04,515880,BUY,100,0.456,0,0,0,0,0,策略信号,20260724_234151
2026-07-24 23:42:04,515880,BUY,100,0.453,0,0,0,0,0,策略信号,20260724_234151
2026-07-24 23:42:04,515880,BUY,100,0.463,0,0,0,0,0,策略信号,20260724_234151
2026-07-24 23:42:04,515880,BUY,100,0.449,0,0,0,0,0,策略信号,20260724_234151
